v:[
(  1)      3
]
c:[
( 17,   1,   1,   1)    175
(  1,  17,   1,   1)    175
(  1,  16,   1,   1)    191
( 16,   1,   1,   1)    191
(  1,   4,   1,   1)    150
(  4,   1,   1,   1)    150
(  2,   3,   1,   1)    193
(  3,   2,   1,   1)    193
( 16,   2,   1,   1)    173
(  2,  16,   1,   1)    173
(  3,  21,   1,   1)    181
( 21,   3,   1,   1)    181
( 21,  20,   1,   1)    189
( 20,  21,   1,   1)    189
( 18,  16,   1,   1)    106
( 16,  18,   1,   1)    106
( 18,  19,   1,   1)    137
( 19,  18,   1,   1)    137
(  4,  18,   1,   1)    147
( 18,   4,   1,   1)    147
(  4,  26,   1,   1)    252
( 26,   4,   1,   1)    252
( 19,  20,   1,   1)    122
( 20,  19,   1,   1)    122
( 19,  23,   1,   1)    130
( 23,  19,   1,   1)    130
( 20,   2,   1,   1)    145
(  2,  20,   1,   1)    145
( 25,   4,   1,   1)    133
(  4,  25,   1,   1)    133
(  5,  20,   1,   1)    114
( 20,   5,   1,   1)    114
( 23,   5,   1,   1)    122
(  5,  23,   1,   1)    122
( 23,   6,   1,   1)    135
(  6,  23,   1,   1)    135
(  6,  18,   1,   1)    150
( 18,   6,   1,   1)    150
(  6,  25,   1,   1)    150
( 25,   6,   1,   1)    150
(  6,  27,   1,   1)    167
( 27,   6,   1,   1)    167
( 26,  28,   1,   1)    125
( 28,  26,   1,   1)    125
( 26,  30,   1,   1)    122
( 30,  26,   1,   1)    122
( 28,  10,   1,   1)    167
( 10,  28,   1,   1)    167
( 27,   5,   1,   1)    105
(  5,  27,   1,   1)    105
( 27,   8,   1,   1)     96
(  8,  27,   1,   1)     96
( 31,   6,   1,   1)    119
(  6,  31,   1,   1)    119
( 31,   9,   1,   1)    176
(  9,  31,   1,   1)    176
( 31,  11,   1,   1)    195
( 11,  31,   1,   1)    195
(  8,  31,   1,   1)    154
( 31,   8,   1,   1)    154
(  8,  34,   1,   1)    176
( 34,   8,   1,   1)    176
( 29,  22,   1,   1)    142
( 22,  29,   1,   1)    142
( 22,   5,   1,   1)    118
(  5,  22,   1,   1)    118
( 29,   8,   1,   1)     71
(  8,  29,   1,   1)     71
( 29,  33,   1,   1)    174
( 33,  29,   1,   1)    174
(  7,  24,   1,   1)    160
( 24,   7,   1,   1)    160
( 24,  26,   1,   1)    174
( 26,  24,   1,   1)    174
(  7,  30,   1,   1)    185
( 30,   7,   1,   1)    185
(  7,  32,   1,   1)    123
( 32,   7,   1,   1)    123
(  9,  25,   1,   1)    201
( 25,   9,   1,   1)    201
(  9,  28,   1,   1)    171
( 28,   9,   1,   1)    171
(  9,  10,   1,   1)    169
( 10,   9,   1,   1)    169
(  9,  35,   1,   1)    132
( 35,   9,   1,   1)    132
( 35,  11,   1,   1)    193
( 11,  35,   1,   1)    193
( 32,  10,   1,   1)    185
( 10,  32,   1,   1)    185
